IID,FID,Sex
614,BXD36/TyJ,F
615,C57L/J,M
616,C57L/J,M
618,CXB12/HiAJ,F
624,BXD19/TyJ,M
625,BXD19/TyJ,M
626,BXD19/TyJ,M
628,BXD19/TyJ,F
629,BXD19/TyJ,F
630,BXD19/TyJ,F
631,BXD19/TyJ,F
632,BXA16/PgnJ,M
633,BXA16/PgnJ,M
634,BXA16/PgnJ,M
635,BXA16/PgnJ,M
636,BXA16/PgnJ,F
637,BXA16/PgnJ,F
638,BXA16/PgnJ,F
640,C3H/HeJ,M
642,C57BL/6J,M
644,C57BL/6J,F
646,C57BL/6J,M
648,C57BL/6J,M
649,BXH19/TyJ,F
651,BXH19/TyJ,F
653,BXD27/TyJ,M
654,BXD27/TyJ,M
655,BXD27/TyJ,M
656,BXD27/TyJ,M
659,BXD31/TyJ,F
660,CXB11/HiAJ,F
664,CXB12/HiAJ,M
665,CXB12/HiAJ,M
666,CXB7/ByJ,M
667,CXB7/ByJ,M
668,AXB4/PgnJ,M
669,AXB4/PgnJ,M
670,AXB4/PgnJ,M
674,C57BLKS/J,F
680,C57BLKS/J,M
681,AXB13/PgnJ,M
684,AXB19b/PgnJ,F
685,AXB19b/PgnJ,F
686,AXB19b/PgnJ,M
687,AXB19b/PgnJ,M
688,CXB13/HiAJ,F
689,CXB13/HiAJ,F
690,CXB3/ByJ,M
691,CXB7/ByJ,F
692,CXB7/ByJ,F
694,LP/J,F
699,AXB10/PgnJ,M
700,BALB/cJ,F
701,BALB/cJ,F
702,BALB/cJ,F
705,BXD9/TyJ,F
706,BXD9/TyJ,F
707,BXD9/TyJ,F
708,BXD9/TyJ,M
717,BXA14/PgnJ,F
720,BXA14/PgnJ,F
722,BXA14/PgnJ,M
724,BXD20/TyJ,F
725,BXD20/TyJ,F
726,BXD20/TyJ,F
727,BXD20/TyJ,F
729,BXD29/TyJ,F
730,BXD18/TyJ,F
732,BXD18/TyJ,F
735,A/J,F
736,A/J,F
738,BXD32/TyJ,F
744,BXH22/KccJ,F
745,BXH22/KccJ,F
746,BXH22/KccJ,M
747,NZB/BlNJ,M
748,AXB10/PgnJ,M
749,AXB10/PgnJ,M
750,AXB6/PgnJ,F
752,AXB6/PgnJ,F
753,BALB/cJ,M
755,BALB/cJ,M
756,BALB/cJ,M
759,SEA/GnJ,F
760,SEA/GnJ,F
761,SEA/GnJ,M
762,SEA/GnJ,M
763,SEA/GnJ,M
764,SEA/GnJ,M
765,SEA/GnJ,F
766,SEA/GnJ,F
767,SEA/GnJ,M
768,SEA/GnJ,M
769,SEA/GnJ,M
770,CXB8/HiAJ,F
772,CXB8/HiAJ,F
773,CXB8/HiAJ,F
774,CXB8/HiAJ,F
775,CXB8/HiAJ,F
776,CXB8/HiAJ,M
777,CXB8/HiAJ,M
778,DBA/2J,M
779,NON/ShiLtJ,F
780,NON/ShiLtJ,M
781,NON/ShiLtJ,M
782,NON/ShiLtJ,M
783,BXD21/TyJ,M
784,BXD21/TyJ,M
785,BXD21/TyJ,M
786,BXD21/TyJ,M
789,BXD24/TyJ-Cep290<rd16>/J,M
793,BXD24/TyJ-Cep290<rd16>/J,F
794,BXD24/TyJ-Cep290<rd16>/J,M
795,BXD24/TyJ-Cep290<rd16>/J,M
796,BXD31/TyJ,M
797,BXD31/TyJ,M
798,BXD31/TyJ,M
799,CBA/J,M
801,RIIIS/J,F
802,RIIIS/J,M
803,RIIIS/J,M
808,BXD11/TyJ,F
809,BXD11/TyJ,F
811,BXD11/TyJ,M
812,BXD11/TyJ,M
815,BXD14/TyJ,M
816,BXD14/TyJ,M
817,BXD14/TyJ,F
818,BXD14/TyJ,F
819,BXH19/TyJ,F
820,AXB12/PgnJ,F
821,BXD5/TyJ,F
822,I/LnJ,M
823,C58/J,F
824,C58/J,F
825,C58/J,M
826,SWR/J,M
827,AXB19b/PgnJ,F
828,BXH6/TyJ,F
829,BXH6/TyJ,M
830,CXB13/HiAJ,M
831,CXB13/HiAJ,M
832,CXB13/HiAJ,M
833,CXB13/HiAJ,M
835,CXB13/HiAJ,F
836,CXB3/ByJ,F
837,CXB3/ByJ,F
838,CXB3/ByJ,F
839,CXB3/ByJ,M
840,AXB2/PgnJ,F
841,BXA24/PgnJ,M
842,BXD6/TyJ,F
843,C57BL/6J,M
844,C57BL/6J,M
845,C57BL/6J,M
846,C57BL/6J,F
847,C57BL/6J,F
848,C57BL/6J,M
849,AXB19/PgnJ,F
850,AXB19/PgnJ,M
851,AXB19/PgnJ,M
852,BXD21/TyJ,F
853,BXD21/TyJ,F
854,BXD21/TyJ,F
855,BXD21/TyJ,M
856,BXD21/TyJ,M
857,BXD21/TyJ,M
858,BXD21/TyJ,F
859,BXD36/TyJ,F
860,BXD36/TyJ,F
861,BXD36/TyJ,F
862,BXD36/TyJ,M
863,BXD9/TyJ,F
864,BXD9/TyJ,F
865,BXD9/TyJ,F
866,BXA7/PgnJ,F
867,BXA7/PgnJ,F
868,BXA7/PgnJ,M
869,BXA7/PgnJ,M
870,BXA7/PgnJ,M
871,BXD5/TyJ,M
872,AKR/J,M
873,AXB10/PgnJ,F
874,BXA14/PgnJ,F
875,BXA14/PgnJ,M
876,BXA14/PgnJ,M
877,CXB12/HiAJ,F
878,CXB12/HiAJ,M
879,CXB12/HiAJ,M
880,CXB7/ByJ,M
881,CXB7/ByJ,M
882,CBA/J,M
883,MA/MyJ,F
884,MA/MyJ,F
885,MA/MyJ,F
886,MA/MyJ,M
887,BXD22/TyJ,F
888,BXD22/TyJ,M
889,BXD22/TyJ,M
890,BXD38/TyJ,F
891,BXD43/RwwJ,F
892,BXD43/RwwJ,F
893,BXD43/RwwJ,M
894,BXD43/RwwJ,M
895,BXD43/RwwJ,M
896,BXD87/RwwJ,M
897,BXD51/RwwJ,F
898,BXH9/TyJ,M
899,PL/J,M
900,BXD21/TyJ,F
901,BXD21/TyJ,F
902,BXD21/TyJ,M
903,CXB12/HiAJ,F
904,CXB12/HiAJ,M
905,CXB12/HiAJ,M
906,CXB12/HiAJ,M
907,BXD14/TyJ,F
908,BXD14/TyJ,M
909,C57BLKS/J,M
910,C57BLKS/J,M
911,C57BLKS/J,F
912,C57BLKS/J,F
913,LP/J,F
914,LP/J,F
915,AXB13/PgnJ,M
916,AXB13/PgnJ,M
917,BXD55/RwwJ,F
918,BXD55/RwwJ,F
919,BXD55/RwwJ,M
920,BXD55/RwwJ,M
921,BXD71/RwwJ,F
922,BXD51/RwwJ,M
923,BXD61/RwwJ,M
924,BXD61/RwwJ,M
925,BXD68/RwwJ,M
926,BXD50/RwwJ,F
927,BXD50/RwwJ,F
928,BXD86/RwwJ,M
929,129X1/SvJ,F
930,129X1/SvJ,F
931,129X1/SvJ,M
932,129X1/SvJ,M
933,DBA/2J,F
934,DBA/2J,F
935,DBA/2J,M
936,DBA/2J,M
937,CXB13/HiAJ,F
938,CXB13/HiAJ,F
939,CXB13/HiAJ,F
940,CXB13/HiAJ,F
941,CXB13/HiAJ,M
942,CXB13/HiAJ,M
943,CXB13/HiAJ,M
944,CXB6/ByJ,F
945,MA/MyJ,F
946,BXD66/RwwJ,F
947,BXD66/RwwJ,M
948,BXD66/RwwJ,M
949,BXD66/RwwJ,M
950,BXD66/RwwJ,M
951,BXD75/RwwJ,F
952,BXD75/RwwJ,F
953,BXD75/RwwJ,F
954,BXD75/RwwJ,F
955,BXD75/RwwJ,F
956,BXD75/RwwJ,F
957,BXD75/RwwJ,M
958,FVB/NJ,F
959,FVB/NJ,F
960,FVB/NJ,M
961,FVB/NJ,M
962,FVB/NJ,M
963,FVB/NJ,M
964,C57BL/6J,M
965,C57BL/6J,F
966,C57BL/6J,F
967,BXH6/TyJ,F
968,BXH6/TyJ,F
969,BXH6/TyJ,M
970,CXB12/HiAJ,M
971,CXB13/HiAJ,F
972,CXB13/HiAJ,F
973,CXB13/HiAJ,M
974,CBA/J,F
975,CBA/J,M
976,MA/MyJ,M
977,MA/MyJ,M
978,MA/MyJ,M
979,BXD38/TyJ,F
980,AXB2/PgnJ,F
981,AXB2/PgnJ,F
982,AXB2/PgnJ,F
983,AXB2/PgnJ,M
984,NZB/BlNJ,M
985,BXD69/RwwJ,F
986,BXD69/RwwJ,F
987,BXD69/RwwJ,F
988,BXD69/RwwJ,F
989,BXD69/RwwJ,M
990,BXD84/RwwJ,M
991,BXD84/RwwJ,M
992,BXD84/RwwJ,M
993,BXD73/RwwJ,F
994,BXD73/RwwJ,F
995,BXD73/RwwJ,F
996,BXD73/RwwJ,M
997,BXD70/RwwJ,F
998,129X1/SvJ,F
999,129X1/SvJ,F
1001,C57BL/6J,F
1002,C57BL/6J,M
1003,KK/HlJ,F
1004,KK/HlJ,M
1005,LP/J,M
1006,BXD55/RwwJ,F
1007,BXD55/RwwJ,M
1008,BXD43/RwwJ,M
1009,BXD71/RwwJ,F
1010,BXD71/RwwJ,F
1011,BXD71/RwwJ,M
1012,BXD51/RwwJ,F
1013,BXD51/RwwJ,M
1014,BXD51/RwwJ,M
1015,BXH8/TyJ,F
1016,BXH8/TyJ,F
1017,BXH8/TyJ,F
1018,BXH8/TyJ,M
1019,BXH8/TyJ,M
1020,BXH8/TyJ,M
1021,BXH8/TyJ,M
1022,C57BL/6J,F
1023,C57BL/6J,F
1024,C57BL/6J,F
1025,C57BL/6J,F
1026,C57BL/6J,F
1027,C57BL/6J,M
1028,C57BL/6J,M
1029,C57BL/6J,F
1030,C57BL/6J,F
1031,C57BL/6J,F
1032,C57BL/6J,M
1033,C57BL/6J,M
1034,C57BL/6J,M
1035,BXH6/TyJ,F
1036,BXH6/TyJ,F
1037,BXH6/TyJ,F
1038,BXH6/TyJ,M
1039,CXB6/ByJ,F
1040,BXH8/TyJ,F
1041,CXB6/ByJ,F
1042,BXH8/TyJ,F
1043,CXB6/ByJ,M
1044,CBA/J,M
1045,CBA/J,M
1046,BXA25/PgnJ,F
1047,CBA/J,F
1048,CBA/J,F
1049,BXD84/RwwJ,M
1050,BXA25/PgnJ,M
1051,BXD70/RwwJ,F
1052,BXD70/RwwJ,F
1053,BXD70/RwwJ,F
1054,BXD70/RwwJ,F
1055,AXB10/PgnJ,M
1056,AXB10/PgnJ,F
1057,BXD12/TyJ,M
1058,BXD12/TyJ,M
1059,BXD21/TyJ,M
1060,BXD21/TyJ,M
1061,BXD21/TyJ,M
1062,AXB2/PgnJ,F
1063,AXB2/PgnJ,F
1064,CXB12/HiAJ,F
1065,CXB12/HiAJ,F
1066,CXB12/HiAJ,M
1067,CXB12/HiAJ,M
1068,CBA/J,M
1069,CBA/J,M
1070,BXD21/TyJ,F
1071,BXD55/RwwJ,F
1072,AXB2/PgnJ,M
1073,AXB2/PgnJ,M
1074,BXD43/RwwJ,M
1075,BXD69/RwwJ,F
1076,BXD69/RwwJ,F
1077,BXD69/RwwJ,F
1078,BXD51/RwwJ,F
1079,BXD51/RwwJ,F
1080,BXD43/RwwJ,F
1081,BXD43/RwwJ,F
1082,BXD73/RwwJ,F
1083,BXD64/RwwJ,F
1084,BXD64/RwwJ,F
1085,BXD73/RwwJ,F
1086,BXD73/RwwJ,F
1087,BXD73/RwwJ,F
1088,BXD73/RwwJ,F
1090,CBA/J,F
1091,LP/J,F
1092,LP/J,F
1093,LP/J,M
1094,AXB2/PgnJ,F
1095,AXB2/PgnJ,F
1097,AXB2/PgnJ,M
1098,BXD69/RwwJ,F
1099,BXD69/RwwJ,F
1100,BXD69/RwwJ,F
1101,BXD69/RwwJ,F
1102,BXD69/RwwJ,F
1103,BXD69/RwwJ,M
1104,BXD69/RwwJ,M
1105,BXD64/RwwJ,F
1106,BXD64/RwwJ,F
1107,BXD64/RwwJ,F
1108,BXD64/RwwJ,M
1109,BXD64/RwwJ,M
1110,BXD64/RwwJ,M
1111,C3H/HeJ,F
1112,BXD87/RwwJ,F
1113,BXD51/RwwJ,F
1114,C3H/HeJ,M
1115,BXA24/PgnJ,F
1116,BXA24/PgnJ,F
1117,BXA24/PgnJ,F
1118,SWR/J,M
1119,BXD38/TyJ,M
1120,BXD38/TyJ,M
1122,BXD87/RwwJ,M
1123,BXD87/RwwJ,M
1124,BXD84/RwwJ,M
1125,BXD44/RwwJ,M
1126,SWR/J,F
1128,BXH19/TyJ,F
1129,CXB6/ByJ,M
1130,BXD56/RwwJ,F
1131,BXD56/RwwJ,F
1132,BXD56/RwwJ,F
1133,BXD56/RwwJ,M
1134,BXD56/RwwJ,F
1135,BXD56/RwwJ,F
1136,BXD56/RwwJ,F
1137,BXD56/RwwJ,M
1140,BXD73/RwwJ,F
1141,BXD73/RwwJ,F
1142,BXD73/RwwJ,M
1143,C3H/HeJ,F
1144,C3H/HeJ,F
1145,C3H/HeJ,M
1146,C3H/HeJ,M
1147,129X1/SvJ,F
1148,AXB19/PgnJ,F
1149,AXB19/PgnJ,F
1150,AXB19/PgnJ,M
1151,AXB19/PgnJ,M
1152,AXB19/PgnJ,M
1153,BXD87/RwwJ,F
1154,BXD87/RwwJ,M
1155,BXD87/RwwJ,F
1156,BXD87/RwwJ,F
1157,BXD87/RwwJ,F
1158,BXD87/RwwJ,M
1159,BXD87/RwwJ,M
1160,BXD64/RwwJ,F
1161,C3H/HeJ,M
1162,C3H/HeJ,M
1163,C3H/HeJ,M
1164,SWR/J,M
1165,SWR/J,M
1166,AXB19a/PgnJ,F
1167,AXB19a/PgnJ,F
1168,AXB19a/PgnJ,F
1169,AXB19a/PgnJ,M
1170,AXB19a/PgnJ,M
1171,AXB19a/PgnJ,M
1172,AXB19a/PgnJ,M
1173,AXB19a/PgnJ,M
1174,CXB6/ByJ,F
1175,BXD84/RwwJ,M
1176,BXD84/RwwJ,M
1177,BXD84/RwwJ,F
1178,BXD84/RwwJ,F
1179,C3H/HeJ,F
1180,BXD66/RwwJ,M
1181,BXD66/RwwJ,M
1182,BXD84/RwwJ,F
1183,BXD84/RwwJ,F
1184,I/LnJ,F
1185,I/LnJ,F
1186,I/LnJ,M
1187,I/LnJ,M
1188,I/LnJ,M
1189,I/LnJ,M
1190,BXD64/RwwJ,F
1191,BXD87/RwwJ,F
1192,BXD87/RwwJ,F
1193,BXD87/RwwJ,M
1194,BXD84/RwwJ,M
1195,BXD71/RwwJ,F
1196,BXD71/RwwJ,M
1197,BXD55/RwwJ,F
1198,BXD55/RwwJ,F
1199,BXD66/RwwJ,F
1200,RIIIS/J,M
1201,RIIIS/J,M
1202,RIIIS/J,M
1203,AXB13/PgnJ,M
1204,BXD79/RwwJ,M
1205,SM/J,F
1206,SM/J,F
1207,SM/J,F
1208,SM/J,M
1209,SM/J,M
1210,AXB19a/PgnJ,F
1211,C3H/HeJ,F
1212,C3H/HeJ,F
1213,BXA24/PgnJ,F
1214,C3H/HeJ,M
1215,BXA24/PgnJ,M
1216,BXD84/RwwJ,F
1217,BXD84/RwwJ,F
1218,BXD87/RwwJ,F
1219,AXB19a/PgnJ,F
1220,AXB19a/PgnJ,F
1221,BXD55/RwwJ,F
1222,BXD66/RwwJ,F
1223,BXD66/RwwJ,M
1224,AXB19/PgnJ,M
1225,AXB19a/PgnJ,M
1226,BXD61/RwwJ,M
1227,BXD61/RwwJ,M
1228,BXD87/RwwJ,F
1229,BXD87/RwwJ,F
1230,SM/J,F
1231,SM/J,F
1232,BXA24/PgnJ,M
1233,BXA24/PgnJ,M
1234,AXB19/PgnJ,M
1236,BXA24/PgnJ,F
1237,C57BLKS/J,F
1238,RIIIS/J,M
1239,RIIIS/J,M
1240,BXD87/RwwJ,M
1241,BXD87/RwwJ,M
1242,BXD87/RwwJ,M
1243,C57BLKS/J,F
1244,BXA8/PgnJ,F
1245,SM/J,F
1246,SM/J,F
1248,SWR/J,M
1249,C57BLKS/J,M
1250,C57BLKS/J,M
1251,C57BLKS/J,M
1252,SWR/J,F
1253,SWR/J,F
1254,BXA8/PgnJ,F
1255,BXA8/PgnJ,F
1256,BXA8/PgnJ,M
1257,SM/J,F
1258,SM/J,F
1259,SM/J,M
1260,SM/J,M
1261,SM/J,M
1262,SM/J,M
1263,CE/J,M
1264,CE/J,F
1265,CE/J,F
1266,CE/J,F
1267,RIIIS/J,F
1268,SWR/J,F
1269,SM/J,F
1270,SM/J,F
1271,SM/J,F
1272,BXA24/PgnJ,F
1273,BXA24/PgnJ,F
1274,BXA24/PgnJ,F
1275,BXA24/PgnJ,F
1276,BXA24/PgnJ,M
1277,BXA24/PgnJ,M
1278,BXA24/PgnJ,M
1279,AXB19a/PgnJ,F
1280,AXB19a/PgnJ,F
1281,AXB19a/PgnJ,F
1282,BXD87/RwwJ,M
1283,BXD87/RwwJ,M
1284,BXD87/RwwJ,M
1285,BXD87/RwwJ,M
1286,C3H/HeJ,F
1287,I/LnJ,F
1288,C3H/HeJ,F
1289,C3H/HeJ,M
1290,C3H/HeJ,M
1291,BXA24/PgnJ,M
1292,AXB19a/PgnJ,M
1293,AXB19a/PgnJ,M
1294,AXB13/PgnJ,M
1295,BXD64/RwwJ,M
1296,BXD87/RwwJ,F
1297,BXD87/RwwJ,F
1298,BXD87/RwwJ,F
1299,BXD87/RwwJ,F
1300,BXD87/RwwJ,F
1301,BXD64/RwwJ,F
1302,AXB13/PgnJ,F
1303,BXD64/RwwJ,F
1304,C3H/HeJ,F
1305,C3H/HeJ,F
1306,C3H/HeJ,M
1307,BXA24/PgnJ,M
1308,BXD87/RwwJ,M
1309,AKR/J,F
1310,AKR/J,F
1311,AKR/J,F
1312,AKR/J,M
1313,AKR/J,M
1314,C57BLKS/J,M
1315,C57BLKS/J,M
1316,I/LnJ,F
1317,I/LnJ,F
1318,I/LnJ,M
1319,I/LnJ,M
1320,I/LnJ,M
1321,BXD55/RwwJ,F
1322,SWR/J,F
1323,SWR/J,M
1324,SWR/J,M
1325,AKR/J,F
1326,AKR/J,F
1327,AKR/J,F
1328,AKR/J,F
1329,AKR/J,M
1330,AKR/J,M
1331,AKR/J,M
1332,AKR/J,M
1333,AKR/J,M
1334,AKR/J,M
1335,AKR/J,M
1336,AKR/J,M
1337,I/LnJ,F
1338,AKR/J,F
1339,C3H/HeJ,F
1340,AKR/J,M
1341,AXB19a/PgnJ,M
1342,AXB19a/PgnJ,M
1343,AKR/J,M
1344,AXB13/PgnJ,M
1345,BXD55/RwwJ,F
1346,BXD55/RwwJ,F
1347,BXD55/RwwJ,F
1348,BXD87/RwwJ,F
1349,BXD87/RwwJ,F
1350,BXD87/RwwJ,F
1351,BXD87/RwwJ,M
1352,BXD87/RwwJ,M
1353,BXA24/PgnJ,F
1354,BXA24/PgnJ,F
1355,BXA24/PgnJ,M
1356,BXA24/PgnJ,M
1357,BXA24/PgnJ,M
1358,BXD70/RwwJ,F
1359,BXD70/RwwJ,F
1360,BXD70/RwwJ,F
1361,BXD70/RwwJ,F
1362,BXD70/RwwJ,M
1363,BXD70/RwwJ,M
1364,C3H/HeJ,M
1365,BXD70/RwwJ,M
1366,SWR/J,F
1367,SWR/J,F
1368,SWR/J,M
1369,SWR/J,M
1370,BXD87/RwwJ,M
1371,BXD87/RwwJ,F
1372,BXD87/RwwJ,F
1373,BXA24/PgnJ,F
1374,AKR/J,M
1375,BXD87/RwwJ,M
1376,AXB13/PgnJ,M
1378,AKR/J,F
1379,AKR/J,F
1380,AKR/J,F
1381,BXD87/RwwJ,F
1382,BXD87/RwwJ,F
1383,AXB13/PgnJ,F
1384,AXB13/PgnJ,F
1385,BXA24/PgnJ,M
1386,BXA24/PgnJ,M
1387,AKR/J,M
1388,I/LnJ,M
1389,SWR/J,F
1390,SWR/J,F
1391,BXA24/PgnJ,M
1392,BXA24/PgnJ,M
1393,I/LnJ,M
1394,BXA24/PgnJ,F
1395,AXB13/PgnJ,F
1396,SWR/J,F
1397,SWR/J,F
1398,SWR/J,F
1399,AKR/J,F
1400,AKR/J,F
1401,AKR/J,F
1402,AKR/J,M
1403,AKR/J,M
1404,AKR/J,M
1405,BXD55/RwwJ,M
1406,BXD55/RwwJ,F
1407,BXD55/RwwJ,F
1408,BXD55/RwwJ,F
1409,AKR/J,M
1410,AKR/J,M
1411,AKR/J,M
1412,AKR/J,M
1413,AKR/J,M
1414,AKR/J,M
1415,AXB19a/PgnJ,M
1416,AXB19a/PgnJ,M
1417,AKR/J,F
1418,AXB19a/PgnJ,F
1419,AXB19a/PgnJ,F
